20,"Dole Courts Democrats"
29,"Yanks End Drought; Mets Fall in Opener"
3,"Lumpectomies Seen As Equal in Benefit To Breast Removals"
16,"Pentagon Widens Program to Foil Bombings in Iraq"
19,"Bleak Serbian Mining Region May Decide Milosevic's Fate"
19,"Clinton Defends His Policies In Kosovo, China and Mexico"
20,"IMPEACHMENT: THE OVERVIEW;"
3,"CAT SCAN PROCESS COULD CUT DEATHS FROM LUNG CANCER"
20,"A Long, Rocky Road With 39 Months to Go"
12,"THE WRONG MAN: A special report.;"
20,"Battle for Control of Congress Plays Out in a Redrawn Texas"
19,"Easing Crisis, China Lets North Korea Defector Go"
15,"Hewlett's Chief Is In a Battle For Her Deal and Her Career"
15,"INFLATION RISING, MARKETS TUMBLE"
16,"A VISIT FROM CHINA: NEW SPY CASE;"
19,"Aide to Yeltsin Disputes Orders Over Chechnya"
15,"MICROSOFT ON TRIAL: THE TRIAL;"
3,"A Pill for Male Pattern Baldness Wins Approval From the F.D.A."
16,"Dash to Baghdad Left Top U.S. Generals Divided"
3,"Thinking Small Paying Off Big In Gene Quest"
19,"THREATS AND RESPONSES: TERROR NETWORK; 
A Terror Lieutenant With a Deadly Past"
19,"Arab Slays 2 and Wounds 20 After 4 Die in a Raid by Israel"
16,"Air Force Academy Investigated 54 Sexual Assaults in 10 Years"
19,"JERUSALEM BLAST KILLS SIX ISRAELIS; ARMY RAIDS START"
19,"Distrust Reopens the Door for Polio in India"
3,"Men and Health"
16,"2 CAR BOMBINGS IN IRAQ KILL 41, MANY CHILDREN"
19,"Mideast Alarm Button"
3,"3 Executives of Hospital Chain Charged With Medicare Fraud"
12,"Mexican Drugs: A Semi-Censure Reported Near"
16,"Plan to Preserve Sept. 11 Remains Leaves Open Future Identification"
16,"Retirements Suspended"
20,"SEEKING FURTHER REFLECTION"
19,"With King Hussein Near Death, Power in Jordan Is Passed to Son"
16,"A Nation Challenged: The Rebels; Bush Approves Covert Aid for Taliban Foes"
19,"CRISIS IN SOUTH KOREA: THE BAILOUT; PACKAGE OF LOANS WORTH $55 BILLION IS SET FOR KOREA"
20,"EDWARDS GIVES STRONG TRIBUTE AS DEMOCRATS NOMINATE KERRY"
19,"MIDEAST LEADERS PLAN TALKS IN U.S."
19,"In Uneasy Time, Saudi Prince Provides a Hope of Stability"
16,"Post-Mortem on a Raid"
20,"Rebels in G.O.P. Call for DeLay To Be Replaced"
3,"Study Challenges Idea of PMS as Emotional Disorder"
20,"THE 2000 CAMPAIGN: THE ELECTORATE;
Population Shifts in the Southeast Realign Politics in the Suburbs"
16,"In Afghanistan, U.S. Envoy Sits In Seat of Power"
16,"Terry Nichols Gets Life Term In Bombing Plot"
12,"Self-Criticism And Its Risks"
20,"Gingrich to Take Over Defense Of Retaining His Speaker's Job"
20,"A Fiery Torricelli Rebuffs Critics In a Meeting of Senate Democrats"
12,"U.S. Says Mobsters Joined Stock Fraud"
19,"South African Democracy Stumbles on Old Rivalry"
20,"Echoes of a 1972 Loss Haunt a 2004 Campaign"
20,"Clinton Ex-Partner Is Held in Contempt In Whitewater Case"
16,"NOMINEE GAVE ADVICE TO C.I.A. ON TORTURE LAW"
20,"TESTING OF A PRESIDENT: THE OVERVIEW;"
20,"VANISHING POINT; Bucking Trend, They Stay on Plains, Held by Family and Friends"
3,"LACK OF OVERSIGHT IN TISSUE DONATION RAISING CONCERNS"
19,"A Memorial to a Killer Crumbles"
19,"BOMBER DISGUISED AS ISRAELI SOLDIER KILLS 3 IN MARKET"
29,"Game, Set, Comeback: Capriati Wins a Major"
19,"Whoever Wins, Vote in Mexico Will Be Fateful"
19,"Olympics Imperil Historic Beijing Neighborhood"
20,"Democrats Appear Vulnerable in Senate Races"
20,"Lazio Is Seen Ready To Yield to Giuliani In U.S. Senate Race"
15,"One Victory, And a Signal"
16,"A NATION AT WAR: THE ATTACK; 
ALLIES CONFRONT BAGHDAD DEFENDERS; IRAQIS REPEL COPTERS; ONE GOES DOWN"
12,"DEATH IN A CULT: THE VICTIMS;"
15,"Credit Card Issuer Will Repay Millions To Some Customers"
19,"U.S. SAYS CUBANS KNEW THEY FIRED ON CIVILIAN PLANES"
16,"9/11 POLLS FIND LINGERING FEARS IN NEW YORK CITY"
3,"As Octuplets Remain in Peril, Ethics Questions Are Raised"
16,"Many on Base-Closings Panel Question Estimate of Savings"
12,"Through Gaps in System, Nurse Left Trail of Grief"
20,"Political Memo; 
Democrats Split on Pushing The Personal or the Political"
20,"THE TESTING OF A PRESIDENT: THE SUIT;"
19,"Somalis Brave a Sea of Perils For $50-a-Month Jobs Abroad"
29,"And It Counts"
15,"Stocks Tumble, And the Fallout Is Going Global"
29,"White Sox End 88-Year Wait For Series Title"
3,"Scientist Reveals Secret of Genome: It's His"
16,"REPORT ON IRAQ EXPOSES A DIVIDE WITHIN THE G.O.P."
20,"Issues and (Possible) Answers: A Primer on the Alito Hearings"
19,"On the Move in Search of Safety"
3,"FEDERAL THRUST AGAINST TOBACCO GETS NEW VIGOR"
15,"Auditing Firms Exercise Power In Washington"
19,"Siberia as Winter Comes: Hungry, Cold and Broke"
19,"5 TEACHERS SLAIN IN AN IRAQ SCHOOL"
19,"Suicide Blast Kills 16 in Jerusalem; Israel Strikes Gaza"
29,"UConn and Duke Are the Final Two"
20,"Senate's Democrats Aim to Walk Softly But Carry Big Gavel"
16,"IRAN BACKS AWAY FROM A DEMAND ON A-BOMB FUEL"
12,"U.S. Admits Failure To Share Evidence In McVeigh's Trail"
19,"Israel Starts Leaving 2 Areas, but Will Continue Drive"
16,"Collision With China: The Overview; With Crew in U.S., Bush Sharpens Tone Toward China"
29,"A Double World Record-Holder"
16,"2 Years Later, Slayings in Iraq And Lost Cash Are Mysteries"
16,"Evangelicals Are Growing Force In the Military Chaplain Corps"
19,"Japan's Leader Seeks Constitution Reforms"
3,"WHITE HOUSE SEEKS TO CURB PILLS USED TO CALM THE YOUNG"
16,"Conservative Allies Take Chalabi Case To the White House"
16,"GENERAL ACCUSED OF SEX HARASSMENT HAD WON KEY POST"
12,"GIULIANI WILL PUT FOSTER CARE TO BID"
20,"DEMOCRATS PUSH TO COUNTER G.O.P. IN TURNOUT RACE"
19,"Falling Yen Puts Car Makers In Japan in the Driver's Seat"
15,"A Rival Is Offering $44.5 Billion For AT&T's Cable TV Business"
16,"Looters at Weapon Site"
16,"Video Captures Sept. 11 Horror In Raw Replay"
20,"Big Companies Picking Up Tab in Inauguration"
20,"THE 2000 CAMPAIGN: THE BATTLEGROUND;
Evangelist Goes On the Attack To Help Bush"
16,"Will It Work In the White House?"
20,"Cheney's Skillful Insider"
12,"Hip-Hop Star Cleared of Charges In Shooting at a Manhattan Club"
12,"New York City Real Estate Heir Is Acquitted of Murder in Texas"
20,"REPUBLICANS PICK NEW YORK AS SITE OF '04 CONVENTION"
20,"Washington Traffic Jam? Senators-Only Elevator"
20,"COUNTING THE VOTE: THE OVERVIEW;
Florida's Justices Zero In on Recount Deadlines"
15,"New Lenders With Huge Fees Thrive on Workers With Debts"
29,"EASTERN CONFERENCE SEMIFINAL: GAME 1"
16,"U.S. IS BUILDING UP ITS MILITARY BASES IN AFGHAN REGION"
15,"Cost-Cutting Strategy"
20,"THE ELECTION"
20,"PRESSURE GROWS FOR REPUBLICANS OVER FOLEY CASE"
19,"Militias Battle for Iraqi City As Shiite Rivalry Escalates"
20,"THE 2000 CAMPAIGN: WRITING AND HEALING;
Career in the Balance, Gore Focused His Energy on a Book"
12,"CLINTON INDICATES SUPPORT TO MEXICO IN BATTLING DRUGS"
29,"Back From Dead, Red Sox Bury Yanks and Go to Series"
16,"NATO LEADERS SAY IRAQ MUST DISARM"
16,"A Matter of Perspective"
19,"RULING PARTY GETS A LIFT IN MEXICO AS FOES DISAGREE"
3,"2 MAJOR HOSPITALS FORM CORPORATION"
20,"GOING HOME"
19,"Clinging to Its Past, Europe Is Warily Awaiting the Euro"
3,"In Small Town, U.S.A., AIDS Presents New Set of Hardships"
19,"Lawyers and G.O.P. Chiefs Resist Proposal on Tribunal"
15,"Microsoft Talks Ordered by Judge"
19,"Beijing Leaders' Populist Touch Is Not Felt by Most Rural Poor"
19,"India Recalling Pakistan Envoy Over Delhi Raid"
16,"THREATS AND RESPONSES: WEAPONS MONITORING; 
Russia Helped U.S. On Nuclear Spying Inside North Korea"
16,"AFTER THE WAR: BAGHDAD; 
HUSSEIN'S TOP AIDE HAS BEEN CAUGHT, U.S. OFFICIALS SAY"
19,"Jets Are Chartered For Israelis in U.S. To Get Out to Vote"
19,"U.S. VOWS BIG RISE IN AID FOR VICTIMS OF ASIAN DISASTER"
15,"ANDERSEN IS SAID TO BE NEAR A DEAL ON ENRON CHARGES"
16,"Partisan Divide on Iraq Exceeds Split on Vietnam"
16,"Career Profiles of 9/11 Dead Arouse Anxiety"
15,"BANKING'S BIG DEAL: THE OVERVIEW;
CHASE IS REPORTED ON VERGE OF DEAL TO OBTAIN MORGAN"
19,"Still Missing: Arafat's Nod"
15,"Wall Street's Designs on '05? A Boom in Merger Activity"
19,"As Nigeria Tries to Fight Graft, a New Sordid Tale"
3,"Baby in Parents' Bed in Danger? U.S. Says Yes, but Others Demur"
19,"In F.B.I., Innocent Detainee Found Unlikely Ally"
16,"HIGH TALIBAN AIDE IS IN U.S. CUSTODY AT KANDAHAR BASE"
19,"ELECTION CHANGE SEEMS TO ENSURE IRAQIS' CHARTER"
12,"PRISONERS GAIN IN SUIT ATTACKING LETHAL INJECTION"
19,"Israelis Forces Kill a Top Leader Of Islamic Group in West Bank"
12,"Latest Battleground In Latin Drug War: Brazilian Amazon"
12,"Registry Laws Tar Sex-Crime Convicts With Broad Brush"
20,"THE 2000 ELECTIONS: CHANGING CIRCUMSTANCES;
How Gore Stopped Short On His Way to Concede"
19,"Iran's Leader Relishes 2nd Chance to Make Waves"
19,"Western Allies Press To Oust Bosnia Serb"
16,"CRISIS IN THE BALKANS: THE OVERVIEW;"
20,"An Ultimate Capital Insider -- John Glover Roberts"
12,"A Tarnished Case"
19,"New Issue at U.N: North Koreans Seeking Refugee Status in China"
15,"Stocks Gain on Signs Of Quicker Recovery"
